Collection_site	Site_ID...2	Match_ID...3	...4	Unique	Site_ID...6	Match_ID...7
Atulayan_Bay	Atu	AtuB	NA	NA	Atu	AtuB
Nato	Atu	None	NA	NA	Bai	None
Bais_Bay	Bai	Bais	NA	NA	Bal?	Bais
Balicuatro_Island	Bal?	to_collect	NA	NA	Ban	to_collect
Batan_Island	Ban	to_collect	NA	NA	Bas	Basu
Basud_River	Bas	Basu	NA	NA	Bat	Daet
Basud_River	Bas	Daet	NA	NA	Bil	SMig
Basud_River	Bas	SMig	NA	NA	Bir?	HamC
Mercedes_Fishing_Port	Bas	Basu	NA	NA	Bit	Pgal
Batangas_Market	Bat	to_collect	NA	NA	Bol	NA
Hamilo_Cove	Bat	HamC	NA	NA	Bul	MatB
Puerto_Galera	Bat	Pgal	NA	NA	Bur?	Busu
Bilan_Bilan	Bil	to_collect	NA	NA	Bus	to_determine
NA	NA	NA	NA	NA	Cag	Nasu
Balicuatro_Island	Bir?	to_collect	NA	NA	Cal	Pmar
Batag_Island	Bir?	to_collect	NA	NA	Can?	SanR
Bito_River	Bit	to_collect	NA	NA	Cat	Rosa
Bolalo_Bay	Bol	to_collect	NA	NA	Ceb	Lina
Bulan_Island	Bul	MatB	NA	NA	Cot	Masi
Alimango_Bay	Bur?	to_collect	NA	NA	Dum	RagR
Burias_Island	Bur?	to_collect	NA	NA	End	Ppri
Busin_Harbor	Bur?	to_collect	NA	NA	Gal	CanB??
Busuanga_Island	Bus	Busu	NA	NA	Gal? or Pga?	SubB
Port_Caltom	Bus	Busu	NA	NA	Gub	Jolo
Cagayan	Cag	to_collect	NA	NA	Dup	NA
Cagayan	Cag	to_collect	NA	NA	Guj	NA
Calatagan	Cal	None	NA	NA	Ham	NA
Canmahala_Bay	Can?	to_collect	NA	NA	Hin	NA
Catbalogan_Bay	Cat	to_collect	NA	NA	Ina	NA
Cebu_Market	Ceb	to_collect	NA	NA	Jol	NA
Cebu_Market	Ceb	to_determine	NA	NA	Jos	NA
Cotabato	Cot	to_collect	NA	NA	Kal	NA
Cotabato	Cot	to_collect	NA	NA	Lin	NA
Dumaguete	Dum	None	NA	NA	Mac	NA
Silliman_Beach	Dum	None	NA	NA	Mah	NA
Silliman_Beach	Dum	None	NA	NA	Mal	NA
Silliman_Beach	Dum	None	NA	NA	Man	NA
Endeavor_Strait	End	to_determine	NA	NA	Mar	NA
Puerto_Galera	Gal	Pgal	NA	NA	Mat	NA
Puerto_Galera	Gal	to_collect	NA	NA	Mct?	NA
Varadero_Bay	Gal	Pgal	NA	NA	Mig	NA
Varadero_Bay	Gal	Pgal	NA	NA	Mvi	NA
Varadero_Bay	Gal	to_collect	NA	NA	Nak	NA
Port_Galera	Gal? or Pga?	to_collect	NA	NA	Nas	NA
Albay_Gulf	Gub	AtuB	NA	NA	Ove	NA
Port Dupon	Dup	to_determine	NA	NA	Pag	NA
Guijulugan	Guj	to_collect	NA	NA	Pal	NA
Guijulugan_Beach	Guj	Bais	NA	NA	Par	NA
Hamilo_Cove	Ham	HamC	NA	NA	Pas	NA
Hamilo_Cove	Ham	Nasu	NA	NA	Pnb	NA
Hamilo_Cove	Ham	None	NA	NA	Pnd	NA
Hamilo_Cove	Ham	Pmar	NA	NA	Pri	NA
Hamilo_Cove	Ham	SanR	NA	NA	Rag	NA
Hinunangan	Hin	to_determine	NA	NA	Rom?	NA
Inamucan_Bay	Ina	to_collect	NA	NA	Ros	NA
Jolo	Jol	to_collect	NA	NA	Sac	NA
San_Jose	Jos	AtuB	NA	NA	Sim? or Jol	NA
San_Jose	Jos	None	NA	NA	Sip	NA
San_Jose	Jos	Rosa	NA	NA	Siq	NA
Kalibo_Street_Vendor	Kal	None	NA	NA	Sub	NA
Linapacan_Island	Lin	to_collect	NA	NA	Tab	NA
Malcochin_Harbor	Lin	Lina	NA	NA	Tat	NA
Maculabo_Id.	Mac	Daet	NA	NA	Taw	NA
Mahinog	Mah	to_determine	NA	NA	Tic	NA
Malampaya_Sound	Mal	to_determine	NA	NA	Tum	NA
Malampaya_Sound	Mal	to_determine	NA	NA	Ver?	NA
Mansalay_Bay	Man	to_collect	NA	NA	Vic	NA
Port_Maricaban	Mar	Pmar	NA	NA	Vin	NA
Port_Maricaban	Mar	to_collect	NA	NA	Mnt	NA
Bulan	Mat	MatB	NA	NA	Prn	NA
Matnog_Bay	Mat	MatB	NA	NA	Clg	NA
Mactan Island	Mct?	to_collect	NA	NA	NA	NA
San_Miguel_Bay	Mig	None	NA	NA	NA	NA
San_Miguel_Bay	Mig	SMig	NA	NA	NA	NA
Masinloc_Bay_San_Salvador_Id	Mvi	Masi	NA	NA	NA	NA
Masinloc_Bay_San_Salvador_Id	Mvi	None	NA	NA	NA	NA
Masinloc_Bay_South_Poblacion	Mvi	Masi	NA	NA	NA	NA
Masinloc_Bay_South_Poblacion	Mvi	None	NA	NA	NA	NA
Masinloc_Public_Market	Mvi	Masi	NA	NA	NA	NA
Masinloc_Public_Market	Mvi	None	NA	NA	NA	NA
Port_Matalvi_reef_Masinloc	Mvi	Masi	NA	NA	NA	NA
Nakoda_Bay	Nak	to_determine	NA	NA	NA	NA
Nasugbu	Nas	HamC	NA	NA	NA	NA
Nasugbu	Nas	Nasu	NA	NA	NA	NA
Nasugbu	Nas	Nasu	NA	NA	NA	NA
Camp_Overton	Ove	to_collect	NA	NA	NA	NA
Santiago_River	Pag	SanR	NA	NA	NA	NA
Batag_Island	Pal	to_collect	NA	NA	NA	NA
Paracale_Pulangdaga_Beach	Par	Basu	NA	NA	NA	NA
Paracale_Pulangdaga_Beach	Par	Daet	NA	NA	NA	NA
Pasacao	Pas	RagR	NA	NA	NA	NA
Panabutan_Bay	Pnb	to_determine	NA	NA	NA	NA
Pandanon_Island	Pnd	to_collect	NA	NA	NA	NA
Puerto_Princessa	Pri	Ppri	NA	NA	NA	NA
Canmahala_Bay	Rag	CanB??	NA	NA	NA	NA
Liboro_Market	Rag	RagR	NA	NA	NA	NA
Liboro_Market	Rag	RagR	NA	NA	NA	NA
Ragay_Gulf	Rag	RagR	NA	NA	NA	NA
Ragay_River	Rag	RagR	NA	NA	NA	NA
Sipocot_Public_Market	Rag	None	NA	NA	NA	NA
Sorsogon_Bay	Rag	CanB??	NA	NA	NA	NA
Romblon	Rom?	to_collect	NA	NA	NA	NA
Rosa_Id.	Ros	Rosa	NA	NA	NA	NA
Sacol_Island	Sac	to_collect	NA	NA	NA	NA
Simaluc_Island	Sim? or Jol	to_collect	NA	NA	NA	NA
Simunul_Id_Sibutu_Channel	Tum	Tumi	NA	NA	NA	NA
Sipalay_Negros	Sip	None	NA	NA	NA	NA
Siquijor	Siq	None	NA	NA	NA	NA
Grande_Island	Sub	SubB	NA	NA	NA	NA
Olongapo_Subic_Bay	Sub	SubB	NA	NA	NA	NA
Olongapo_Subic_Bay	Sub	SubB	NA	NA	NA	NA
Silanguin	Sub	SubB	NA	NA	NA	NA
Subic_City_Municipal_Fish_Port	Sub	None	NA	NA	NA	NA
Surigao	Bil	to_collect	NA	NA	NA	NA
Tabaco_City	Tab	AtuB	NA	NA	NA	NA
Tataan	Tat	to_collect	NA	NA	NA	NA
Tataan_Island	Tat	to_collect	NA	NA	NA	NA
Tataan_Pass	Tat	to_determine	NA	NA	NA	NA
Dos_Amigos_Bay	Taw	Jolo	NA	NA	NA	NA
Ticao_Pass	Tic	MatB	NA	NA	NA	NA
Tumindao_Island	Tum	Tumi	NA	NA	NA	NA
Verde_Island	Ver?	to_collect	NA	NA	NA	NA
Port_San_Vicente	Vic	to_determine	NA	NA	NA	NA
Port_San_Vicente	Vic	to_determine	NA	NA	NA	NA
Vinzons_Public_Market	Vin	Basu	NA	NA	NA	NA
Abuyog	NA	to_determine	NA	NA	NA	NA
Caluagan_Bay	NA	to_determine	NA	NA	NA	NA
Camp_Overton	NA	to_determine	NA	NA	NA	NA
Candaraman_Island_Balabac_Straight	NA	to_collect	NA	NA	NA	NA
Mantaguin_Bay	Mnt	to_determine	NA	NA	NA	NA
Naujan_River	NA	to_determine	NA	NA	NA	NA
Port_Busin	Bur	to_determine	NA	NA	NA	NA
Yaua_River	NA	to_determine	NA	NA	NA	NA
Parang	Prn	NA	NA	NA	NA	NA
Caluagan_Bay	Clg	NA	NA	NA	NA	NA
